EpRewMean	EpLenMean	KLOldNew	Entropy	EVBefore	EVAfter	SurrogateLoss	TimestepsSoFar
-1089.6763192073563	1000.0	0.0021164275	8.399715	0.14653058672772845	0.21040181983581163	-0.12653731	213000
-1061.921775958979	1000.0	0.0015814905	8.397439	-0.093745080296878	0.08306958542567999	-0.054419313	216000
-1058.9258391447115	1000.0	0.0011988082	8.395206	0.04357641957258973	0.09379427633511972	-0.05919108	219000
-1074.754767272049	1000.0	0.0015998802	8.392873	0.09238024183443472	0.24198060008165545	-0.11206846	222000
-1092.8458470679643	1000.0	0.0011198624	8.390691	-10.312357446900684	0.11625534087360245	-0.02687469	225000
-1042.798309324151	1000.0	0.0011042441	8.388567	0.050430795440313925	0.15146868498314248	-0.050424002	228000
-1040.2807179979825	1000.0	0.0015186793	8.386553	-0.09145314777802271	0.17792590457294466	-0.03360195	231000
-1110.536691589101	1000.0	0.0015902879	8.384568	0.0687543447968414	0.10841418764911082	-0.06127665	234000
-972.8004375087121	1000.0	0.0015808287	8.382627	0.058235987816342316	0.14195773509038123	-0.04959475	237000
-946.2234429279787	1000.0	0.0017130971	8.380596	0.09281820483294623	0.1757152959277425	-0.09758976	240000
-1004.5283402311985	1000.0	0.0016665659	8.378614	0.02064700361685834	0.08867474765692107	-0.049531393	243000
-1092.85479906206	1000.0	0.0014834353	8.3766575	0.0004729009270428852	0.09907364441491773	-0.057797775	246000
-1150.3118532005162	1000.0	0.0013301072	8.374728	-0.5728125008794684	0.12624351353293362	-0.057372406	249000
-1053.6322173938156	1000.0	0.0012071454	8.372746	-0.039573372449046795	0.11598401228661948	-0.08367887	252000
-1024.1628956199077	1000.0	0.0016808549	8.3707285	-0.00256395204826787	0.1280652442566702	-0.08179145	255000
-923.978236809642	1000.0	0.0012465802	8.368781	0.011257408852294315	0.2742012014918028	-0.04297786	258000
-1063.320317515804	1000.0	0.0011586739	8.367089	-1.360465112434715	0.09580804520127639	0.017391212	261000
-1001.7497360796842	1000.0	0.0013346524	8.365437	0.06555072785220217	0.2813200678154939	-0.042102795	264000
-964.5945457303213	1000.0	0.0015465609	8.36378	-0.033702029348932294	0.10341849768324196	-0.061520413	267000
-998.9961422582164	1000.0	0.0013579469	8.3622465	-0.30758162410347434	0.14643507962054692	-0.015925294	270000
-903.3694549344309	1000.0	0.0012083135	8.3605995	0.16622739262210195	0.2172900351917455	-0.09006397	273000
-879.0423574674477	1000.0	0.0010566418	8.358969	0.09100932066354483	0.1362383997609481	-0.049208563	276000
-984.7654242765369	1000.0	0.001038567	8.357227	0.10701496751103068	0.14172513743732096	-0.08941636	279000
-905.9199765621303	1000.0	0.0009500088	8.3553705	0.21175988370347443	0.3650809378218298	-0.09923684	282000
-882.5963039685872	1000.0	0.00061979063	8.353677	0.2415727260256999	0.29345987647157	-0.0030801888	285000
-920.8951224146177	1000.0	0.0008249824	8.351872	0.3126766038134501	0.3393093307049363	-0.09536609	288000
-987.9326244574727	1000.0	0.00084217463	8.350032	-0.11299899801834035	0.09666998916732894	-0.07323444	291000
-891.0003807538163	1000.0	0.0006538945	8.348217	0.1483484101491257	0.26535801077287036	-0.058382936	294000
-1003.0623099677047	1000.0	0.00065670075	8.346368	-3.3261981960787903	0.1029141396007246	-0.06707683	297000
-887.4222810776309	1000.0	0.00039347756	8.344527	0.08383074958999981	0.1428128977271551	-0.05285497	300000
-930.5912838951863	1000.0	0.0004904232	8.342639	0.2347378144611979	0.3441797450585481	-0.07518652	303000
-919.5699837917828	1000.0	0.000766306	8.340611	0.12504776093833403	0.24899844180719366	-0.11098609	306000
-842.0634273081429	1000.0	0.0006232407	8.338588	0.2493980490396237	0.2947337552381655	-0.06726668	309000
-940.9739806184092	1000.0	0.0012318441	8.3364315	-0.03801644418315653	0.11810253145945471	-0.112747684	312000
-887.791482709326	1000.0	0.0017907424	8.334133	0.2532925090521728	0.3977666718079218	-0.11878492	315000
-836.4761167092834	1000.0	0.0014874114	8.331867	-0.0890551783925917	0.13430767833731616	-0.06335143	318000
-883.5383212275443	1000.0	0.0012032731	8.329671	0.084964109314001	0.10784196884438813	-0.05005287	321000
-929.3909166987065	1000.0	0.0014127576	8.327638	0.04978267766936395	0.1321023425578859	-0.016968613	324000
-873.0482838767466	1000.0	0.001194458	8.32558	0.03492295660264566	0.08912746987613529	-0.07866507	327000
-893.0432172060999	1000.0	0.0009510127	8.323463	0.08406076814243724	0.16164055523140053	-0.08810957	330000
-865.3750569846434	1000.0	0.0006380938	8.321452	-0.006908999762737844	0.18079220129782725	-0.03458975	333000
-823.2981203486403	1000.0	0.0006170894	8.319251	0.14110416993475483	0.18075995522741573	-0.13234314	336000
-876.0521513127029	1000.0	0.00053491903	8.316976	-0.0665771506325692	0.13113247782917414	-0.10171759	339000
-880.0406655152416	1000.0	0.0005796887	8.3147745	0.12641327367530042	0.18342571200300029	-0.050746333	342000
-834.1548528481354	1000.0	0.00051343354	8.312539	0.05919717098646249	0.13241167213921945	-0.08691283	345000
-842.352193256302	1000.0	0.00066174567	8.310322	0.06615543296661341	0.17905666622832261	-0.06714448	348000
-823.9951746656465	1000.0	0.000595726	8.307953	0.18173235426223477	0.32917649026952955	-0.1310587	351000
-781.3436475779822	1000.0	0.0006680638	8.305648	0.1335472699491813	0.21055758070143826	-0.056229714	354000
-866.8544094736917	1000.0	0.0006630938	8.303544	-0.49598641138755073	0.11292652252684765	-0.010267078	357000
-730.8335321191438	1000.0	0.0006552506	8.301551	0.03914107323724547	0.1666734529138385	-0.032953788	360000
-793.9661749479695	1000.0	0.00076495804	8.29966	-0.07376207941464208	0.13016718202618405	-0.038525786	363000
-773.1545478151638	1000.0	0.00069930434	8.297798	0.12236847629076852	0.1572278209293868	-0.049775176	366000
-835.9583289782368	1000.0	0.00097160786	8.29568	0.188197641729129	0.3456859653280645	-0.15313475	369000
-839.2225466031001	1000.0	0.0006959231	8.293703	-4.6936500979082005	0.08834367159781065	-0.02132358	372000
-775.756659435957	1000.0	0.0007222947	8.291835	0.08931487216772727	0.14162386030849028	-0.030722277	375000
-810.7375134969988	1000.0	0.001216117	8.290005	0.03053790326876349	0.0940724274324164	-0.04993479	378000
-778.8590310567542	1000.0	0.0011413953	8.288254	0.026990427772774828	0.2685276059902374	-0.0354918	381000
